authors,source,class
"Jack Shafer,Associated Press",politi,f
"Colin Taylor,Grant Stern,Brett Bose,Natalie Dickinson",occupydemocrats,f
Matt Friedman,politi,f
"Abc News,More Morgan",abcn,f
"Hannah Bleau,Red Dawn",chicksontheright,f
Ryan Denson,addictinginfo,f
,opposingviews,f
Cassy Fiano,rightwingnews,f
"Matthew Karnitschnig,Janosch Delcker",politi,f
,conservativebyte,f
"Jack Shafer,Alex Isenstadt",politi,f
"Nick Gass,Jack Shafer,Cristiano Lima",politi,f
,,f
"More Candace,Abc News",abcn,f
"Julian Reichelt,Zoya Sheftalovich,Ginger Hervey",politi,f
Cassy Fiano,rightwingnews,f
"Jack Shafer,Associated Press",politi,f
"Follow On Twitter,Visit Website",liberalamerica,f
Nancy Wells,newsbake,f
"Jim Acosta,Stephen Collinson,Dan Merica",cnn,f
"Cnn Political Director,David Chalian",cnn,f
Nicole Gaouette,cnn,f
Philip Hodges,eaglerising,f
"Colin Taylor,Grant Stern,Brett Bose,Natalie Dickinson",occupydemocrats,f
,freedomdaily,f
Abc News,abcn,f
"Jack Shafer,Robert Strauss",politi,f
Abc News,abcn,f
"Jack Shafer,Burgess Everett,Heather Caygle,Seung Min Kim,John Bresnahan,Nahal Toosi",politi,f
"Jack Shafer,Burgess Everett,Seung Min Kim,Heather Caygle",politi,f
"Jack Shafer,Louis Nelson",politi,f
"Deirdre Walsh,Cnn Senior Congressional Producer",cnn,f
"The Axe Files,Tim Skoczek",cnn,f
,,f
Ryan Denson,addictinginfo,f
Caroline Kenny,cnn,f
David Wright,cnn,f
,conservativebyte,f
,addictinginfo,f
April Hamlin,addictinginfo,f
"Jack Shafer,Seung Min Kim,Ben Weyl,John Bresnahan,Nahal Toosi,Glenn Thrush",politi,f
"Rebecca Morin,Hadas Gold,Daniel Strauss,Jack Shafer",politi,f
,conservativebyte,f
"Jack Shafer,Nolan D,Heather Caygle,Rachael Bade,Eli Stokols,Louis Nelson,Josh Gerstein",politi,f
Claire Corkery,cnn,f
"Colin Taylor,Grant Stern,Brett Bose,Natalie Dickinson",occupydemocrats,f
"Jack Shafer,Matthew Nussbaum",politi,f
"Abc News,More Ali",abcn,f
Ryan Denson,addictinginfo,f
Allie Malloy,cnn,f
"Jack Shafer,Louis Nelson",politi,f
Brian Stelter,cnn,f
"Jacopo Barigazzi,Zoya Sheftalovich",politi,f
"Steven A,Holmes Cnn",cnn,f
Phil Mattingly,cnn,f
"Jack Shafer,Nahal Toosi",politi,f
Stephen D Foster Jr,addictinginfo,f
Daniella Diaz,cnn,f
John Prager,addictinginfo,f
,winningdemocrats,f
"Marcos Da Silva,Grant Stern,Brett Bose,Natalie Dickinson",occupydemocrats,f
"Jack Shafer,Burgess Everett,Seung Min Kim,Ben Weyl",politi,f
"Steve Vladeck,Cnn Contributor",cnn,f
"Kenneth P,Jack Shafer,Isaac Arnsdorf,Vogel Isaac Arnsdorf",politi,f
Abc News,abcn,f
"Deirdre Walsh,Tal Kopan",cnn,f
"Jack Shafer,Burgess Everett,Seung Min Kim,John Bresnahan,Brent Griffiths,Michael Stratford",politi,f
"Lou Colagiovanni,Grant Stern,Brett Bose,Natalie Dickinson",occupydemocrats,f
David Wright,cnn,f
Abc News,abcn,f
"Edward-isaac Dovere,Nahal Toosi,Politico Staff,Jack Shafer",politi,f
View All Posts,eaglerising,f
,freedomdaily,f
"Jack Shafer,Louis Nelson",politi,f
"Natalie Dickinson,Brett Bose,Grant Stern",occupydemocrats,f
Rika Christensen,addictinginfo,f
"Manu Raju,Tom Lobianco,Deirdre Walsh",cnn,f
Hope King,cnn,f
"Lou Colagiovanni,Grant Stern,Brett Bose,Natalie Dickinson",occupydemocrats,f
,opposingviews,f
View All Posts,eaglerising,f
,,f
"Brett Bose,Grant Stern,Steve Bernstein,Natalie Dickinson",occupydemocrats,t
,rightwingnews,t
"Tom Lobianco,Deirdre Walsh",cnn,t
Nancy Wells,newsbake,t
"Jack Shafer,Lisa Rab",politi,t
"Daniel Lippman,Jack Shafer,Jake Sherman,Anna Palmer",politi,t
"Jack Shafer,Nolan D",politi,t
"Nick Gass,Jack Shafer",politi,t
"More Michael,Abc News",abcn,t
"Jack Shafer,Nolan D,Shane Goldmacher",politi,t
"Eugene Scott,Daniella Diaz",cnn,t
Dan Merica,cnn,t
"Ben Schreckinger,Maggie Severns,Jack Shafer",politi,t
"Jack Shafer,Julian E",politi,t
Oliver Willis,addictinginfo,t
Sonja Bochow,rightwingnews,t
"Jack Shafer,Peter Edelman,Adam Walinsky",politi,t
"Jack Shafer,Mason Adams",politi,t
"Jack Shafer,Jeff Greenfield",politi,t
"John Bresnahan,Heather Caygle,Matthew Nussbaum,Jack Shafer",politi,t
Shannon Barber,addictinginfo,t
"Jack Shafer,Cristiano Lima,Louis Nelson",politi,t
Tim Brown,eaglerising,t
"Jack Shafer,Nolan D",politi,t
,freedomdaily,t
Shannon Barber,addictinginfo,t
"John Bresnahan,Heather Caygle,Jack Shafer",politi,t
"Colin Taylor,Grant Stern,Brett Bose,Natalie Dickinson",occupydemocrats,t
"Jack Shafer,Nahal Toosi,Shane Goldmacher",politi,t
"Jack Shafer,Kyle Cheney,Alex Isenstadt,Gabriel Debenedetti,Brent Griffiths,Katie Glueck,Shane Goldmacher",politi,t
"Brent Griffiths,Jack Shafer",politi,t
"Jack Shafer,Associated Press",politi,t
"Colin Taylor,Grant Stern,Brett Bose,Natalie Dickinson",occupydemocrats,t
Matt Friedman,politi,t
"Abc News,More Morgan",abcn,t
"Hannah Bleau,Red Dawn",chicksontheright,t
Ryan Denson,addictinginfo,t
,opposingviews,t
Cassy Fiano,rightwingnews,t
"Matthew Karnitschnig,Janosch Delcker",politi,t
,conservativebyte,t
"Jack Shafer,Alex Isenstadt",politi,t
"Nick Gass,Jack Shafer,Cristiano Lima",politi,t
,,t
"More Candace,Abc News",abcn,t
"Julian Reichelt,Zoya Sheftalovich,Ginger Hervey",politi,t
Cassy Fiano,rightwingnews,t
"Jack Shafer,Associated Press",politi,t
"Follow On Twitter,Visit Website",liberalamerica,t
Nancy Wells,newsbake,t
"Jim Acosta,Stephen Collinson,Dan Merica",cnn,t
"Cnn Political Director,David Chalian",cnn,t
Nicole Gaouette,cnn,t
Philip Hodges,eaglerising,t
"Colin Taylor,Grant Stern,Brett Bose,Natalie Dickinson",occupydemocrats,t
,freedomdaily,t
Abc News,abcn,t
"Jack Shafer,Robert Strauss",politi,t
Abc News,abcn,t
"Jack Shafer,Burgess Everett,Heather Caygle,Seung Min Kim,John Bresnahan,Nahal Toosi",politi,t
"Jack Shafer,Burgess Everett,Seung Min Kim,Heather Caygle",politi,t
"Jack Shafer,Louis Nelson",politi,t
"Deirdre Walsh,Cnn Senior Congressional Producer",cnn,t
"The Axe Files,Tim Skoczek",cnn,t
,,t
Ryan Denson,addictinginfo,t
Caroline Kenny,cnn,t
David Wright,cnn,t
,conservativebyte,t
,addictinginfo,t
April Hamlin,addictinginfo,t
"Jack Shafer,Seung Min Kim,Ben Weyl,John Bresnahan,Nahal Toosi,Glenn Thrush",politi,t
"Rebecca Morin,Hadas Gold,Daniel Strauss,Jack Shafer",politi,t
,conservativebyte,t
"Jack Shafer,Nolan D,Heather Caygle,Rachael Bade,Eli Stokols,Louis Nelson,Josh Gerstein",politi,t
Claire Corkery,cnn,t
"Colin Taylor,Grant Stern,Brett Bose,Natalie Dickinson",occupydemocrats,t
"Jack Shafer,Matthew Nussbaum",politi,t
"Abc News,More Ali",abcn,t
Ryan Denson,addictinginfo,t
Allie Malloy,cnn,t
"Jack Shafer,Louis Nelson",politi,t
Brian Stelter,cnn,t
"Jacopo Barigazzi,Zoya Sheftalovich",politi,t
"Steven A,Holmes Cnn",cnn,t
Phil Mattingly,cnn,t
"Jack Shafer,Nahal Toosi",politi,t
Stephen D Foster Jr,addictinginfo,t
Daniella Diaz,cnn,t
John Prager,addictinginfo,t
,winningdemocrats,t
"Marcos Da Silva,Grant Stern,Brett Bose,Natalie Dickinson",occupydemocrats,t
"Jack Shafer,Burgess Everett,Seung Min Kim,Ben Weyl",politi,t
"Steve Vladeck,Cnn Contributor",cnn,t
"Kenneth P,Jack Shafer,Isaac Arnsdorf,Vogel Isaac Arnsdorf",politi,t
Abc News,abcn,t
"Deirdre Walsh,Tal Kopan",cnn,t
"Jack Shafer,Burgess Everett,Seung Min Kim,John Bresnahan,Brent Griffiths,Michael Stratford",politi,t
"Lou Colagiovanni,Grant Stern,Brett Bose,Natalie Dickinson",occupydemocrats,t
David Wright,cnn,t
Abc News,abcn,t
"Edward-isaac Dovere,Nahal Toosi,Politico Staff,Jack Shafer",politi,t
View All Posts,eaglerising,t
,freedomdaily,t
"Jack Shafer,Louis Nelson",politi,t
"Natalie Dickinson,Brett Bose,Grant Stern",occupydemocrats,t
Rika Christensen,addictinginfo,t
"Manu Raju,Tom Lobianco,Deirdre Walsh",cnn,t
Hope King,cnn,t
"Lou Colagiovanni,Grant Stern,Brett Bose,Natalie Dickinson",occupydemocrats,t
,opposingviews,t
View All Posts,eaglerising,t
,,t
